doi	level
10.1007/bf02472764	2
10.1007/bf02472765	2
10.1007/bf02472766	2
10.1007/bf02472767	2
10.1007/bf02472769	2
10.1007/bf02472770	2
10.1007/bf02472771	2
10.1007/bf02472772	2
10.1007/bf02472776	2
10.1007/bf02472777	2
10.1007/bf02472778	2
10.1007/bf02472779	2
10.1007/bf02472780	2
10.1007/bf02472784	2
10.1007/bf02472785	2
10.1007/bf02472786	2
10.1007/bf02472787	2
10.1007/bf02472788	2
10.1007/bf02472797	2
10.1007/bf02472798	2
10.1007/bf02472799	2
10.1007/bf02472801	2
10.1007/bf02530740	1
10.1007/bf02530742	1
10.1007/bf02530743	1
10.1007/bf02716750	2
10.1007/bf02716751	2
10.1007/bf02716752	2
10.1007/bf02716753	2
10.1007/bf02716754	2
10.1007/bf02716755	2
10.1007/bf02716756	2
10.1007/bf02716758	2
10.1007/bf02744988	1
10.1007/bf02744989	1
10.1007/bf02744990	1
10.1007/bf02812434	2
10.1007/bf02812435	2
10.1007/bf02812436	2
10.1007/bf02812437	2
10.1007/bf02812438	2
10.1007/bf02812439	2
10.1007/bf02812440	2
10.1007/bf02812441	2
10.1007/bf02812442	2
10.1007/bf02812443	2
10.1007/bf02812444	2
10.1007/bf02812445	2
10.1007/bf02812446	2
10.1007/bf02812447	2
10.1007/bf02812449	2
10.1007/bf02812450	2
10.1007/bf02812452	2
10.1007/s00146-002-0242-x	2
10.1007/s00146-002-0243-9	2
10.1007/s00146-003-0247-0	2
10.1007/s00146-003-0248-z	2
10.1007/s00146-003-0249-y	2
10.1007/s00146-003-0250-5	2
10.1007/s00146-003-0256-z	2
10.1007/s00146-003-0257-y	2
10.1007/s00146-003-0259-9	2
10.1007/s00146-003-0263-0	2
10.1007/s00146-003-0266-x	2
10.1007/s00146-003-0267-9	2
10.1007/s00146-003-0269-7	2
10.1007/s00146-003-0271-0	2
10.1007/s00146-003-0272-z	2
10.1007/s00146-003-0276-8	2
10.1007/s00146-003-0278-6	2
10.1007/s00146-003-0280-z	2
10.1007/s00146-003-0284-8	2
10.1007/s00146-003-0285-7	2
10.1007/s00146-003-0286-6	2
10.1007/s00146-003-0287-5	2
10.1007/s00146-003-0288-4	2
10.1007/s00146-003-0293-7	2
10.1007/s00146-004-0296-z	2
10.1007/s00146-004-0297-y	2
10.1007/s00146-004-0298-x	2
10.1007/s00146-004-0299-9	2
10.1007/s00146-004-0300-7	2
10.1007/s00146-004-0301-6	2
10.1007/s00146-004-0302-5	2
10.1007/s00146-004-0303-4	2
10.1007/s00146-004-0304-3	2
10.1007/s00146-004-0305-2	2
10.1007/s00146-004-0306-1	2
10.1007/s00146-004-0309-y	2
10.1007/s00146-004-0310-5	2
10.1007/s00146-004-0312-3	2
10.1007/s00146-004-0313-2	2
10.1007/s00146-004-0314-1	2
10.1007/s00146-005-0001-x	2
10.1007/s00146-005-0002-9	2
10.1007/s00146-005-0003-8	2
10.1007/s00146-005-0004-7	2
10.1007/s00146-005-0007-4	2
10.1007/s00146-005-0009-2	2
10.1007/s00146-005-0010-9	2
