id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight	score<perc dh pubs>	score<perc dh level 1>	score<perc dh level 2>
403853	12	-0.9432	0.0666	4	2544	8.0044	52631	0	0	0
585845	4466	0.6153	0.5263	2	302	1.0868	865	0	0	0
616331	2776	0.7732	0.2459	2	1359	1.6615	4008	0.00124750499001996	0.000748502994011976	0.000499001996007984
612419	3427	-0.1921	-0.5266	1	1836	1.4628	2470	0	0	0
339212	3365	-1.049	-0.0718	4	899	1.357	2596	0	0	0
363996	3338	-0.9079	-0.4122	4	1245	1.5081	2650	0	0	0
632192	2717	-0.9618	-0.4197	4	1199	2.1685	4225	0	0	0
590862	3469	0.5612	0.0374	2	1417	1.2457	2372	0	0	0
94299	730	-0.6158	0.593	3	1437	3.3385	16270	0	0	0
1456323	5026	-0.7266	0.6259	3	207	1.0319	443	0	0	0
500971	4450	-0.7309	0.4905	3	455	1.0531	882	0	0	0
667072	4865	-0.9656	-0.4203	4	494	1.1212	560	0	0	0
255723	2656	0.1826	-0.7575	1	1212	1.2778	4412	0	0	0
105522	4359	1.0401	0.3033	2	573	1.2205	974	0	0	0
612119	1665	0.1564	-0.7526	1	1612	2.0388	8490	0	0	0
551420	2632	0.3525	-0.6788	1	896	1.3331	4465	0	0	0
7486	1734	-0.0885	-0.6143	1	2435	3.2964	8104	0	0	0
67348	5333	-0.0013	-0.1585	5	6	1	188	0	0	0
360747	391	1.0064	0.1995	2	2127	5.6843	22637	0	0	0
472061	4056	0.9024	0.4349	2	538	1.1997	1365	0	0	0
421154	4952	-0.2263	-0.5729	1	841	1.0664	500	0	0	0
661355	370	-0.5197	-0.4473	4	2707	5.2866	23119	0	0	0
374614	3143	0.3777	0.1855	5	1100	1.464	3116	0	0	0
949570	5586	0.6162	0.0028	2	34	1.0022	69	0	0	0
43231	1676	-0.9513	0.373	3	1326	1.9504	8435	0	0	0
488366	5706	0.623	0.6561	2	78	1.0017	50	0	0	0
605829	3450	-0.1935	-0.487	1	1676	1.4003	2419	0	0	0
275540	3531	-0.3035	-0.164	5	986	1.2074	2265	0	0	0
377525	2153	-0.7529	0.3416	3	1649	1.8572	6217	0	0	0
550936	1186	0.2471	-0.7571	1	1294	1.9643	11637	0	0	0
248505	1176	-0.0734	-0.6837	1	2418	4.2832	11719	0	0	0
601170	1312	-0.416	0.9523	6	880	2.1138	10651	0	0	0
328166	820	0.1377	0.0438	6	2851	2.9628	15288	0.000588697017268446	0	0.000588697017268446
199569	319	0.9796	0.1654	2	2271	6.8207	24286	0.0000823519723297373	0.0000823519723297373	0
204780	845	-0.0265	-0.623	1	2520	3.2625	15000	0	0	0
1092029	5655	-0.2621	1.0966	6	33	1.003	57	0	0	0
997472	5206	-0.1595	-0.5708	1	596	1.037	306	0	0	0
548835	4082	-0.1137	0.2951	6	1233	1.2222	1325	0	0	0
581722	4159	-0.8858	-0.3427	4	823	1.392	1215	0	0	0
13268	2672	0.8497	0.1656	2	1330	1.6926	4365	0	0	0
1472504	5490	-0.7666	0.731	3	47	1.0041	99	0	0	0
103912	4493	1.0413	0.3513	2	465	1.1407	835	0	0	0
127608	3503	0.2294	-0.5933	1	529	1.2681	2316	0	0	0
50812	2687	1.0275	0.3292	2	1159	1.4636	4332	0.000692520775623269	0	0.000692520775623269
81714	997	0.0873	-0.3743	1	2423	2.2382	13322	0	0	0
599237	3866	0.949	0.3612	2	761	1.3105	1658	0	0	0
423211	307	-0.9418	-0.4175	4	2072	12.0579	24736	0	0	0
1238101	5497	1.1088	0.3254	2	77	1.0022	96	0	0	0
290969	712	-0.7825	0.6641	3	1184	2.5204	16593	0	0	0
667881	4275	-0.7161	-0.0445	4	772	1.1608	1071	0	0	0
451132	2843	0.3433	-0.6674	1	1167	1.3121	3804	0	0	0
337024	3745	-0.1169	-0.6231	1	1373	1.1979	1849	0	0	0
769088	4988	0.2887	-0.1002	2	599	1.0481	468	0	0	0
668856	699	0.2096	0.6881	6	1843	3.0151	16854	0	0	0
114282	936	0.1355	-0.5691	1	2129	2.4691	13941	0	0	0
450553	3971	0.4622	-0.5076	1	413	1.1009	1497	0	0	0
301108	112	-0.6745	0.9273	3	1060	3.4949	35221	0	0	0
239427	1168	0.115	-0.5889	1	2203	2.5205	11785	0	0	0
358574	3480	1.0429	0.4029	2	775	1.69	2356	0	0	0
439056	4744	1.0011	0.2163	2	555	1.1287	633	0	0	0
600304	1950	-0.0459	-0.6136	1	1987	1.8277	7057	0	0	0
661909	1655	-0.7198	0.0522	4	1343	3.0768	8544	0	0	0
35925	1514	0.1885	-0.7449	1	1554	1.6969	9299	0	0	0
1262457	4910	0.1897	0.7422	6	302	1.0509	530	0.0113207547169811	0	0.0113207547169811
