id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight	score<perc dh pubs>	score<perc dh level 1>	score<perc dh level 2>
399001	2986	0.3631	0.3196	4	1110	1.5515	1445	0	0	0
393404	2987	-0.2288	0.7935	3	1121	1.6487	1444	0	0	0
327191	2988	-0.1285	0.6901	3	917	1.3093	1444	0	0	0
130045	2989	-0.1673	0.7515	3	781	1.1927	1443	0	0	0
406208	2990	-0.5274	-0.4135	1	884	1.3177	1440	0	0	0
363685	2991	0.5014	-0.4379	2	596	1.3993	1439	0	0	0
374294	2992	-0.0642	0.9579	3	607	1.2899	1438	0	0	0
355450	2993	-0.8712	-0.3184	1	572	1.1786	1436	0	0	0
43971	2994	1.6204	-0.4642	6	117	1.2277	1433	0	0	0
356179	2995	-0.2569	0.2201	5	631	1.1999	1430	0	0	0
397529	2996	-0.6436	-0.249	1	771	1.1669	1430	0	0	0
329265	2997	-0.6684	-0.3836	1	780	1.2916	1430	0	0	0
205401	2998	-0.1179	0.4299	5	503	1.1282	1428	0	0	0
350359	2999	-0.8128	-0.4523	1	694	1.2033	1428	0	0	0
570960	3000	-0.1601	0.9051	3	1090	1.7462	1427	0	0	0
424990	3001	0.4252	-0.5562	2	785	1.5851	1427	0	0	0
202037	3002	-0.6055	-0.5157	1	1109	1.4588	1426	0	0	0
410406	3003	-0.5956	-0.2444	1	830	1.2442	1426	0	0	0
168752	3004	-0.0823	0.9529	3	850	1.4255	1421	0	0	0
164404	3005	0.1957	-0.2243	2	590	1.1549	1421	0	0	0
371381	3006	-0.1843	0.9278	3	764	1.3381	1418	0	0	0
335609	3007	1.0709	-0.1052	6	533	1.3279	1418	0	0	0
359863	3008	0.6723	-0.5618	2	420	1.3146	1417	0	0	0
202355	3009	0.6053	0.3558	4	573	1.1429	1414	0	0	0
165033	3010	1.1855	-0.3822	6	270	1.2422	1411	0	0	0
382337	3011	1.0528	-0.4043	2	272	1.3672	1411	0	0	0
257897	3012	0.1431	0.0501	5	831	1.2399	1411	0	0	0
190789	3013	-0.681	-0.2937	1	795	1.2595	1411	0	0	0
334390	3014	0.9198	-0.5731	2	378	1.5198	1410	0	0	0
252764	3015	-0.2939	-0.5413	1	916	1.4153	1409	0	0	0
392411	3016	1.3701	-0.1803	6	267	1.3915	1403	0	0	0
425741	3017	1.1124	-0.3649	2	368	1.2642	1402	0	0	0
167673	3018	0.2632	-0.2734	2	577	1.2451	1400	0	0	0
96231	3019	0.6138	-0.503	2	408	1.3144	1399	0	0	0
