eid	level	doi
33749650733	1	10.1093/llc/fql003
33749652352	1	10.1093/llc/fql006
33749660533	1	10.1093/llc/fql007
33749665282	1	10.1093/llc/fql010
33749671365	1	10.1093/llc/fql002
33749671679	1	10.1093/llc/fql035
33749676823	1	10.1093/llc/fql012
33749677333	1	10.1093/llc/fql011
33750099102	1	10.1093/llc/fqi039
33750101784	1	10.1093/llc/fqi064
33750120746	1	10.1093/llc/fqi063
33750123108	1	10.1093/llc/fqi062
33750132428	1	10.1093/llc/fqi040
33750138248	1	10.1093/llc/fqi042
33750140591	2	10.1076/jqul.9.3.261.14121
33750637814	1	10.1023/A:1002089109613
33750652066	1	10.1023/A:1002646129893
33750654133	1	10.1023/A:1017941320947
33750667845	1	10.1023/A:1026475818476
33750688524	2	10.1007/s00146-006-0051-8
33750692045	1	10.1023/A:1002454919194
33750705914	2	10.1007/s00146-006-0041-x
33750725786	1	NULL
33750732964	2	10.1007/s00146-005-0029-y
33750733015	1	NULL
33750736066	2	10.1007/s00146-006-0053-6
33750742757	2	10.1007/s00146-005-0031-4
33750838585	2	10.1007/s00146-006-0052-7
33751036470	2	10.1007/s007990100040
33751330116	2	10.1007/s00146-003-0279-5
33751384640	1	10.1007/s10579-004-1906-6
33845475442	2	10.1162/coli.2006.32.4.471
33845486512	2	10.1162/coli.2006.32.4.527
33845487544	2	10.1162/coli.2006.32.4.485
33845604429	1	10.1023/A:1014325032412
33845637193	1	10.1023/A:1014344527505
33845685623	1	10.1023/B:CHUM.0000009225.28847.77
33845692183	1	10.1023/B:CHUM.0000009226.51168.47
33845695250	1	10.1023/A:1021855607270
33845695439	1	10.1023/B:CHUM.0000031172.03949.48
33845695633	1	10.1023/A:1021803606361
33845701715	1	10.1023/A:1025039611798
33845708570	1	10.1023/A:1025064105053
33845715317	1	10.1007/s10579-004-8682-1
33845717516	1	10.1023/A:1025019216574
33845718259	1	10.1023/B:CHUM.0000031173.25446.37
33845970195	1	10.1007/s10579-004-1367-y
33845984898	1	10.1007/s10579-004-1919-1
33845993231	1	10.1007/s10579-004-1948-9
33846011061	1	10.1007/s10579-004-1917-3
33846190561	2	10.1007/s00799-003-0064-6
33847249030	1	10.1007/s10579-006-9014-4
33847249030	2	10.1007/s10579-006-9014-4
33847306509	1	10.1007/s10579-006-9004-6
33847306509	2	10.1007/s10579-006-9004-6
33847317042	1	10.1007/s10579-006-9012-6
33847317042	2	10.1007/s10579-006-9012-6
33847333361	1	10.1007/s10579-006-9013-5
33847333361	2	10.1007/s10579-006-9013-5
33947377421	1	10.1093/llc/fql048
33947378259	1	10.1093/llc/fql014
33947391637	1	10.1093/llc/fql044
33947397567	1	10.1093/llc/fqi067
34047098376	2	10.1162/coli.2007.33.1.3
34047153313	2	10.1162/coli.2007.33.1.41
34047167453	2	10.1162/coli.2007.33.1.9
34047168717	2	10.1162/coli.2007.33.1.105
34047168718	2	10.1162/coli.2007.33.1.63
34047203510	1	10.1093/llc/fql038
34047203523	1	10.1093/llc/fql041
34047204283	1	10.1093/llc/fql042
34047210969	1	10.1093/llc/fql032
34047216918	1	10.1093/llc/fql039
34047217974	1	10.1093/llc/fql033
34047218113	1	10.1093/llc/fql043
34047221837	2	10.1007/s007990100042
34047243205	1	10.1093/llc/fql034
34147101722	2	10.1007/s00146-006-0064-3
34147119056	2	10.1007/s00146-006-0078-x
34147121115	2	10.1007/s00146-006-0056-3
34147128128	2	10.1007/s00146-006-0058-1
34147159647	2	10.1007/s00146-006-0062-5
34147161164	2	10.1007/s00146-006-0059-0
34147173783	2	10.1007/s00146-006-0060-7
34248691468	2	10.1080/09296170500055269
34248692013	2	10.1080/0929617042000314921
34248692456	2	10.1080/09296170500055467
34248697004	2	10.1080/09296170512331383675
34248697505	2	10.1080/09296170500172403
34248699104	2	10.1080/09296170500172460
34248700741	2	10.1080/09296170512331383655
34248701226	2	10.1080/092961070500055335
34248703644	2	10.1080/09296170500172437
34248704123	2	10.1080/0929617042000314985
34248709851	2	10.1080/09296170500055384
34248710090	2	10.1076/jqul.10.2.129.16717
34248710391	2	10.1080/0929617042000314930
34248712604	2	10.1080/0929617042000314958
34248713812	2	10.1080/0929617042000314912
34248714597	2	10.1080/09296170500055301
34248714631	2	10.1080/09296170500172486
34248715006	2	10.1076/jqul.10.2.193.16711
34248716301	2	10.1080/09296170500172478
34248716881	2	10.1080/0929617042000314967
34248724593	2	10.1076/jqul.9.1.35.8483
34248728733	2	10.1076/0929-6174(200008)07:02;1-Z;FT129
34248728890	2	10.1076/0929-6174(200008)07:02;1-Z;FT153
34248731547	2	10.1076/jqul.8.1.1.4091
34248735111	2	10.1076/jqul.7.3.227.4109
34248738734	2	10.1076/0929-6174(200008)07:02;1-Z;FT073
34248738754	2	10.1076/jqul.8.1.33.4092
34248739606	2	10.1076/jqul.9.3.215.14124
34248746182	2	10.1076/jqul.9.3.233.14122
34248746414	2	10.1076/jqul.9.2.97.8485
34248747615	2	10.1076/jqul.8.3.233.4097
34347333634	2	10.1007/s00146-007-0087-4
34347334453	2	NULL
34347335586	2	10.1162/coli.2007.33.2.153
34347335835	2	10.1007/s00146-007-0106-5
34347338853	2	10.1007/s00146-007-0088-3
34347348332	2	10.1007/s00146-007-0105-6
34347357484	2	10.1162/coli.2007.33.2.161
34347357741	2	10.1007/s00146-007-0107-4
34347360650	2	10.1162/coli.2007.33.2.201
34347362962	2	10.1162/coli.2007.33.2.283
34347365330	2	10.1007/s00146-007-0103-8
34447618648	1	10.1093/llc/fqm001
34447631030	1	10.1093/llc/fql049
34447632065	1	10.1093/llc/fqm002
34447640018	1	10.1093/llc/fqm006
34447646348	1	10.1093/llc/fqm004
34447647888	1	10.1093/llc/fqm003
34547114513	1	10.1093/llc/fqm008
34547163568	2	10.1007/s00799-007-0014-9
34547168341	2	10.1007/s00799-006-0006-1
34547209626	2	10.1007/s00799-006-0002-5
34547210638	2	10.1007/s00799-006-0003-4
34547210865	2	10.1007/s00799-007-0009-6
34547223749	2	10.1007/s00799-007-0008-7
34547226490	2	10.1007/s00799-006-0004-3
34547231992	2	10.1007/s00146-007-0091-8
34547233284	2	10.1007/s00799-007-0012-y
34547235724	2	10.1007/s00799-007-0013-x
34547614829	2	10.1007/s00146-006-0075-0
34547623589	2	10.1007/s00146-006-0072-3
34547635097	2	10.1007/s00146-006-0071-4
34547636717	2	10.1007/s00146-006-0076-z
34547637622	2	10.1007/s00146-006-0074-1
34547638825	2	10.1007/s00146-006-0070-5
34547643779	2	10.1007/s00146-006-0073-2
34548262569	1	10.1093/llc/fqm012
34548288405	1	10.1093/llc/fqm020
34548291336	1	10.1093/llc/fqm018
34748819951	2	10.1162/coli.2007.33.3.355
34748825544	2	10.1162/coli.2007.33.3.305
34748883679	2	10.1162/coli.2007.33.3.293
34948817233	2	10.1007/s00799-007-0018-5
34948839475	2	10.1007/s00799-007-0016-7
34948840983	2	10.1007/s00799-007-0015-8
34948842025	2	10.1007/s00799-007-0024-7
34948844124	2	10.1007/s00799-007-0023-8
34948885169	2	10.1007/s00799-007-0021-x
34948902316	2	10.1007/s00799-007-0017-6
34948903329	2	10.1007/s00799-007-0020-y
34948904870	2	10.1007/s00799-007-0022-9
35248821089	2	10.1007/s00146-007-0122-5
35248858734	2	10.1007/s00146-007-0125-2
35248874731	2	10.1007/s00146-007-0126-1
35248887985	2	10.1007/s00146-007-0129-y
35548933739	2	10.1007/s00799-007-0011-z
35548936586	1	10.1007/s10579-007-9034-8
35548936586	2	10.1007/s10579-007-9034-8
35548948053	1	10.1007/s10579-007-9031-y
35548948053	2	10.1007/s10579-007-9031-y
35548949870	1	10.1007/s10579-007-9030-z
35548949870	2	10.1007/s10579-007-9030-z
35548951396	1	10.1007/s10579-007-9023-y
35548951396	2	10.1007/s10579-007-9023-y
35548951858	1	10.1007/s10579-007-9041-9
35548951858	2	10.1007/s10579-007-9041-9
35548953621	1	10.1007/s10579-007-9036-6
35548953621	2	10.1007/s10579-007-9036-6
35548966244	1	10.1007/s10579-007-9021-0
35548966244	2	10.1007/s10579-007-9021-0
35548967650	1	10.1007/s10579-007-9024-x
35548967650	2	10.1007/s10579-007-9024-x
35548968033	1	10.1007/s10579-007-9019-7
35548968033	2	10.1007/s10579-007-9019-7
35548968412	2	10.1007/s00799-007-0010-0
35548970732	2	10.1007/s00799-007-0026-5
35548980050	1	10.1007/s10579-007-9025-9
35548980050	2	10.1007/s10579-007-9025-9
35548982223	1	10.1007/s10579-007-9020-1
35548982223	2	10.1007/s10579-007-9020-1
35548986671	1	10.1007/s10579-007-9032-x
35548986671	2	10.1007/s10579-007-9032-x
35549007628	1	10.1007/s10579-007-9022-z
35549007628	2	10.1007/s10579-007-9022-z
35549011439	2	10.1007/s00799-007-0028-3
35648941630	1	10.1093/llc/fqm023
