ut	level	doi
000417909900012	1	10.1093/llc/fqw057
000419453500005	1	10.1145/3084546
000419904800007	1	10.1080/13569783.2017.1399054
000419904800009	1	10.1080/13569783.2017.1396211
000424674500001	2	10.1007/s10579-017-9393-8
000424674500003	2	10.1007/s10579-017-9379-6
000424674500005	2	10.1007/s10579-017-9383-x
000427544200001	2	10.1162/COLI_a_00313
000431078900002	1	10.1093/llc/fqw061
000431078900007	1	10.1093/llc/fqx011
000436132400001	2	10.1162/COLI_a_00314
000438146000002	1	10.1080/13569783.2018.1474094
000438146000010	1	10.1080/13569783.2018.1468242
000443559100013	1	10.1093/llc/fqx046
000443560800011	1	10.1093/llc/fqx062
000444091500002	1	10.1080/13569783.2018.1494558
000452749800001	1	10.1093/llc/fqy002
000457148000007	1	10.1145/3230672
