ut	level	doi
000345836000014	1	10.1093/llc/fqu016
000349889400001	2	10.1007/s10579-014-9288-x
000351506600001	2	10.1080/09296174.2014.1001634
000356451800006	1	10.1093/llc/fqt044
000356451800008	1	10.1093/llc/fqt031
000356451800011	1	10.1093/llc/fqs066
000358361300001	2	10.1007/s10579-015-9308-5
000361044700004	2	10.1162/COLI_a_00228
000367449700005	1	10.1093/llc/fqv041
000367449700014	1	10.1093/llc/fqv013
000371922500012	1	10.1080/13569783.2015.1126173
000378144700007	1	10.1093/llc/fqu043
000379618200005	2	10.1080/09296174.2016.1142329
000380128100011	1	10.1080/13569783.2016.1194191
000380128100015	1	10.1080/13569783.2016.1194194
000385833600009	1	10.1093/llc/fqu072
000385833600011	1	10.1093/llc/fqv038
000385833600012	1	10.1093/llc/fqv004
000386585800012	1	10.1080/13569783.2016.1220247
000388281400004	2	10.1007/s10579-015-9330-7
000388281400007	2	10.1007/s10579-015-9331-6
000388306600001	2	10.1080/09296174.2015.1106271
000388852400002	1	10.1145/2901297
000391726300002	1	10.1145/2950062
000393039600004	2	10.1007/s10579-015-9322-7
000393039600007	2	10.1007/s10579-015-9326-3
000395810700004	1	10.1093/llc/fqv021
000395810700005	1	10.1093/llc/fqv023
000395810700009	1	10.1093/llc/fqw011
000395810700010	1	10.1093/llc/fqw043
000398124800009	2	10.1007/s10579-016-9341-z
000398126100006	1	10.1093/llc/fqv032
000398126100011	1	10.1093/llc/fqv037
000399736200002	1	10.1145/3009905
000403358700002	2	10.1007/s10579-016-9372-5
000403358700003	2	10.1007/s10579-017-9384-9
000406002800004	1	10.1093/llc/fqv069
000377898300005	2	10.1007/s10579-016-9348-5
000378040800003	2	10.1162/COLI_a_00247
000378040800006	2	10.1162/COLI_a_00250
000378144700011	1	10.1093/llc/fqu070
000379618200002	2	10.1080/09296174.2016.1142324
000380128100004	1	10.1080/13569783.2016.1194190
000384451900001	2	10.1162/COLI_a_00252
000384763200006	1	10.1093/llc/fqu069
000385833600001	1	10.1093/llc/fqv011
000385833600003	1	10.1093/llc/fqv001
000385833600014	1	10.1093/llc/fqv016
